"Année","Canton","Montant versé en frs","Nombre de bénéficiaires","Subvention fédérale en frs"
"1971","Suisse",97828119,48728,...
"1971","Zürich",33041752,7813,...
"1971","Bern / Berne",13282812,7669,...
"1971","Luzern",3745155,2530,...
"1971","Uri",453225,470,...
"1971","Schwyz",1477150,997,...
"1971","Obwalden",424422,354,...
"1971","Nidwalden",404100,323,...
"1971","Glarus",544700,164,...
"1971","Zug",550975,492,...
"1971","Fribourg / Freiburg",2182359,1938,...
"1971","Solothurn",3817292,2512,...
"1971","Basel-Stadt",3718565,1578,...
"1971","Basel-Landschaft",2138580,1366,...
"1971","Schaffhausen",650195,341,...
"1971","Appenzell Ausserrhoden",394161,199,...
"1971","Appenzell Innerrhoden",86900,35,...
"1971","St. Gallen",3876150,2307,...
"1971","Graubünden / Grigioni / Grischun",1880650,1768,...
"1971","Aargau",4166265,3333,...
"1971","Thurgau",1746515,1070,...
"1971","Ticino",5363778,3380,...
"1971","Vaud",4605671,2669,...
"1971","Valais / Wallis",3044550,1807,...
"1971","Neuchâtel",2702368,2143,...
"1971","Genève",3529829,1470,...
"1971","Jura",...,...,...
"1972","Suisse",122282408,57298,...
"1972","Zürich",41278419,11089,...
"1972","Bern / Berne",17988119,9022,...
"1972","Luzern",5381413,2942,...
"1972","Uri",560605,518,...
"1972","Schwyz",1518822,1071,...
"1972","Obwalden",674417,407,...
"1972","Nidwalden",568834,371,...
"1972","Glarus",709600,203,...
"1972","Zug",708000,643,...
"1972","Fribourg / Freiburg",2182359,1938,...
"1972","Solothurn",4990240,2913,...
"1972","Basel-Stadt",4727740,1729,...
"1972","Basel-Landschaft",2886075,1477,...
"1972","Schaffhausen",914349,377,...
"1972","Appenzell Ausserrhoden",602368,232,...
"1972","Appenzell Innerrhoden",151600,80,...
"1972","St. Gallen",4157250,2245,...
"1972","Graubünden / Grigioni / Grischun",2923695,2211,...
"1972","Aargau",5227959,3374,...
"1972","Thurgau",2058160,1170,...
"1972","Ticino",5827691,3665,...
"1972","Vaud",5084775,2596,...
"1972","Valais / Wallis",3296556,1859,...
"1972","Neuchâtel",2955428,2240,...
"1972","Genève",4907934,2926,...
"1972","Jura",...,...,...
"1973","Suisse",120687865,52418,...
"1973","Zürich",37076460,9602,...
"1973","Bern / Berne",17523706,7549,...
"1973","Luzern",5652185,3052,...
"1973","Uri",944721,489,...
"1973","Schwyz",1281321,1084,...
"1973","Obwalden",582810,360,...
"1973","Nidwalden",830791,397,...
"1973","Glarus",728800,195,...
"1973","Zug",931550,577,...
"1973","Fribourg / Freiburg",2678700,1776,...
"1973","Solothurn",5386550,3035,...
"1973","Basel-Stadt",4915551,1621,...
"1973","Basel-Landschaft",3174560,1444,...
"1973","Schaffhausen",881125,361,...
"1973","Appenzell Ausserrhoden",704675,239,...
"1973","Appenzell Innerrhoden",252250,115,...
"1973","St. Gallen",4294150,2183,...
"1973","Graubünden / Grigioni / Grischun",3613547,1876,...
"1973","Aargau",5813010,3920,...
"1973","Thurgau",2129585,1117,...
"1973","Ticino",5866326,3216,...
"1973","Vaud",4930651,1959,...
"1973","Valais / Wallis",2914197,1506,...
"1973","Neuchâtel",2961838,1972,...
"1973","Genève",4618806,2773,...
"1973","Jura",...,...,...
"1974","Suisse",129789099,52364,...
"1974","Zürich",39320927,9367,...
"1974","Bern / Berne",17785664,8333,...
"1974","Luzern",6162225,3092,...
