"Année","Type de contribution à la formation","Canton","Degré de formation","Montant versé en fr.","Nombre de bénéficiaires"
"2004","Bourses","Suisse","Degrés de formation - total",279331456,49496
"2004","Bourses","Suisse","Scolarité obligatoire",702606,214
"2004","Bourses","Suisse","Maturité gymnasiale",31538221,7792
"2004","Bourses","Suisse","Autres formations générales",19119665,4969
"2004","Bourses","Suisse","Formation professionnelle initiale (à plein temps)",28730192,6093
"2004","Bourses","Suisse","Formation professionnelle initiale (duale)",43206126,10104
"2004","Bourses","Suisse","Maturité professionnelle (après l'apprentissage)",2615122,613
"2004","Bourses","Suisse","Formation professionnelle supérieure",18765970,2397
"2004","Bourses","Suisse","Hautes écoles spécialisées et pédagogiques",42855197,6019
"2004","Bourses","Suisse","Hautes écoles universitaires",87804126,11775
"2004","Bourses","Suisse","Formation continue",3994231,663
"2004","Bourses","Zürich","Degrés de formation - total",29060118,3814
"2004","Bourses","Zürich","Scolarité obligatoire",370546,131
"2004","Bourses","Zürich","Maturité gymnasiale",4417282,774
"2004","Bourses","Zürich","Autres formations générales",630654,113
"2004","Bourses","Zürich","Formation professionnelle initiale (à plein temps)",1198648,135
"2004","Bourses","Zürich","Formation professionnelle initiale (duale)",5675430,854
"2004","Bourses","Zürich","Maturité professionnelle (après l'apprentissage)",279246,55
"2004","Bourses","Zürich","Formation professionnelle supérieure",1728025,177
"2004","Bourses","Zürich","Hautes écoles spécialisées et pédagogiques",5065463,553
"2004","Bourses","Zürich","Hautes écoles universitaires",9590040,1042
"2004","Bourses","Zürich","Formation continue",104784,8
"2004","Bourses","Bern / Berne","Degrés de formation - total",47600124,7517
"2004","Bourses","Bern / Berne","Scolarité obligatoire",0,0
"2004","Bourses","Bern / Berne","Maturité gymnasiale",6039706,1048
"2004","Bourses","Bern / Berne","Autres formations générales",6226959,1310
"2004","Bourses","Bern / Berne","Formation professionnelle initiale (à plein temps)",4265229,741
"2004","Bourses","Bern / Berne","Formation professionnelle initiale (duale)",12244059,2608
"2004","Bourses","Bern / Berne","Maturité professionnelle (après l'apprentissage)",744675,147
"2004","Bourses","Bern / Berne","Formation professionnelle supérieure",1791537,219
"2004","Bourses","Bern / Berne","Hautes écoles spécialisées et pédagogiques",4297496,475
"2004","Bourses","Bern / Berne","Hautes écoles universitaires",11990463,1230
"2004","Bourses","Bern / Berne","Formation continue",0,0
"2004","Bourses","Luzern","Degrés de formation - total",12278705,2035
"2004","Bourses","Luzern","Scolarité obligatoire",0,0
"2004","Bourses","Luzern","Maturité gymnasiale",1192550,225
"2004","Bourses","Luzern","Autres formations générales",1089575,193
"2004","Bourses","Luzern","Formation professionnelle initiale (à plein temps)",971205,173
"2004","Bourses","Luzern","Formation professionnelle initiale (duale)",1961135,428
"2004","Bourses","Luzern","Maturité professionnelle (après l'apprentissage)",160700,36
"2004","Bourses","Luzern","Formation professionnelle supérieure",727550,116
"2004","Bourses","Luzern","Hautes écoles spécialisées et pédagogiques",1893750,294
"2004","Bourses","Luzern","Hautes écoles universitaires",4176340,573
"2004","Bourses","Luzern","Formation continue",105900,12
"2004","Bourses","Uri","Degrés de formation - total",1150500,201
"2004","Bourses","Uri","Scolarité obligatoire",0,0
"2004","Bourses","Uri","Maturité gymnasiale",87800,25
"2004","Bourses","Uri","Autres formations générales",153900,24
"2004","Bourses","Uri","Formation professionnelle initiale (à plein temps)",30200,10
"2004","Bourses","Uri","Formation professionnelle initiale (duale)",102700,28
"2004","Bourses","Uri","Maturité professionnelle (après l'apprentissage)",14500,2
"2004","Bourses","Uri","Formation professionnelle supérieure",134100,19
"2004","Bourses","Uri","Hautes écoles spécialisées et pédagogiques",283600,44
"2004","Bourses","Uri","Hautes écoles universitaires",343700,50
"2004","Bourses","Uri","Formation continue",0,0
"2004","Bourses","Schwyz","Degrés de formation - total",6203258,1050
"2004","Bourses","Schwyz","Scolarité obligatoire",0,0
"2004","Bourses","Schwyz","Maturité gymnasiale",864764,202
"2004","Bourses","Schwyz","Autres formations générales",812690,146
"2004","Bourses","Schwyz","Formation professionnelle initiale (à plein temps)",517181,111
"2004","Bourses","Schwyz","Formation professionnelle initiale (duale)",590978,201
"2004","Bourses","Schwyz","Maturité professionnelle (après l'apprentissage)",72474,16
"2004","Bourses","Schwyz","Formation professionnelle supérieure",449217,47
"2004","Bourses","Schwyz","Hautes écoles spécialisées et pédagogiques",962129,113
"2004","Bourses","Schwyz","Hautes écoles universitaires",1933825,215
"2004","Bourses","Schwyz","Formation continue",0,0
"2004","Bourses","Obwalden","Degrés de formation - total",1594005,308
"2004","Bourses","Obwalden","Scolarité obligatoire",1630,2
"2004","Bourses","Obwalden","Maturité gymnasiale",114240,42
"2004","Bourses","Obwalden","Autres formations générales",101910,31
"2004","Bourses","Obwalden","Formation professionnelle initiale (à plein temps)",88900,30
"2004","Bourses","Obwalden","Formation professionnelle initiale (duale)",123520,46
"2004","Bourses","Obwalden","Maturité professionnelle (après l'apprentissage)",8080,3
"2004","Bourses","Obwalden","Formation professionnelle supérieure",129900,23
"2004","Bourses","Obwalden","Hautes écoles spécialisées et pédagogiques",259730,44
"2004","Bourses","Obwalden","Hautes écoles universitaires",764945,88
"2004","Bourses","Obwalden","Formation continue",1150,1
"2004","Bourses","Nidwalden","Degrés de formation - total",1033450,181
"2004","Bourses","Nidwalden","Scolarité obligatoire",0,0
"2004","Bourses","Nidwalden","Maturité gymnasiale",114180,26
"2004","Bourses","Nidwalden","Autres formations générales",81620,21
"2004","Bourses","Nidwalden","Formation professionnelle initiale (à plein temps)",45000,14
"2004","Bourses","Nidwalden","Formation professionnelle initiale (duale)",39110,19
"2004","Bourses","Nidwalden","Maturité professionnelle (après l'apprentissage)",10060,2
"2004","Bourses","Nidwalden","Formation professionnelle supérieure",22410,6
"2004","Bourses","Nidwalden","Hautes écoles spécialisées et pédagogiques",152640,22
"2004","Bourses","Nidwalden","Hautes écoles universitaires",568430,71
"2004","Bourses","Nidwalden","Formation continue",0,0
"2004","Bourses","Glarus","Degrés de formation - total",1383250,231
"2004","Bourses","Glarus","Scolarité obligatoire",0,0
"2004","Bourses","Glarus","Maturité gymnasiale",33400,7
"2004","Bourses","Glarus","Autres formations générales",4800,1
"2004","Bourses","Glarus","Formation professionnelle initiale (à plein temps)",137100,29
"2004","Bourses","Glarus","Formation professionnelle initiale (duale)",122450,35
"2004","Bourses","Glarus","Maturité professionnelle (après l'apprentissage)",24100,4
"2004","Bourses","Glarus","Formation professionnelle supérieure",33300,6
"2004","Bourses","Glarus","Hautes écoles spécialisées et pédagogiques",459100,65
"2004","Bourses","Glarus","Hautes écoles universitaires",472100,62
"2004","Bourses","Glarus","Formation continue",96900,22
"2004","Bourses","Zug","Degrés de formation - total",3714600,582
"2004","Bourses","Zug","Scolarité obligatoire",35700,13
"2004","Bourses","Zug","Maturité gymnasiale",261500,46
"2004","Bourses","Zug","Autres formations générales",204900,49
