"Scénario","Sexe","Niveau de formation","Année","Nombre de personnes"
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2024",323797
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2025",318356
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2026",312267
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2027",305848
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2028",299127
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2029",292237
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2030",286005
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2031",280837
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2032",276079
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2033",271526
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2034",267307
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2035",263491
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2036",260190
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2037",257608
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2038",255942
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2039",255059
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2040",255214
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2041",256320
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2042",258347
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2043",261411
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2044",265162
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2045",269414
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2046",274542
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2047",279354
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2048",284259
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2049",289392
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2050",294682
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2051",300178
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2052",305865
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2053",311665
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2054",317797
"Scénario C-00-2025 'bas'","Hommes","Sans formation post-obligatoire","2055",324130
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2024",955245
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2025",944992
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2026",935260
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2027",926937
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2028",916895
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2029",906660
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2030",896239
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2031",885779
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2032",875656
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2033",866239
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2034",859440
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2035",853279
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2036",847453
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2037",842379
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2038",837217
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2039",832265
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2040",827315
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2041",821562
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2042",814499
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2043",806917
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2044",798356
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2045",789515
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2046",781465
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2047",771733
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2048",761601
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2049",751603
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2050",742182
"Scénario C-00-2025 'bas'","Hommes","Degré secondaire II","2051",733036
