STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,SSV_SWISS_CITY,Villes suisses,SSV_CLASS_CITY,Classe de taille de la commune (habitants),SSV_EDUC_LEVEL,Niveau de formation,STATISTICAL_OPERATION,Opération statistique,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,PERIOD,Période,EMBARGO_DATE,Date de publication,LAST_UPDATE,Date d’actualisation,DB_STATE,Etat de la base de données,REGION_REF,Référence spatiale,REGION_STATE,Date de référence spatiale,DATASET_COMMENT,Remarques
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,117,Hinwil,2,10 000-14 999,pop25_form_sek,Degré secondaire II,CI,Intervalle de confiance (+/-),18,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,155,Männedorf,2,10 000-14 999,pop25_form_t,"Population résidente permanente de 25 ans et plus, total",CI,Intervalle de confiance (+/-),11.7,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,155,Männedorf,2,10 000-14 999,pop25_form_ter,Degré tertiaire,OBS,Valeur observée,5897,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,156,Meilen,2,10 000-14 999,pop25_form_t,"Population résidente permanente de 25 ans et plus, total",OBS,Valeur observée,11475,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,158,Stäfa,3,15 000-19 999,pop25_form_ter,Degré tertiaire,OBS,Valeur observée,6511,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,191,Dübendorf,4,20 000-49 999,pop25_form_ter,Degré tertiaire,CI,Intervalle de confiance (+/-),10.2,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,198,Uster,4,20 000-49 999,pop25_form_t,"Population résidente permanente de 25 ans et plus, total",OBS,Valeur observée,28455,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,198,Uster,4,20 000-49 999,pop25_form_ohne,Sans formation post-obligatoire,CI,Intervalle de confiance (+/-),18.6,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,250,Urdorf,2,10 000-14 999,pop25_form_ohne,Sans formation post-obligatoire,OBS,Valeur observée,1334,,U,Faible fiabilité,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
DATAFLOW,CH1.SSV:DF_SSV_EDUC_LEVEL(2026.1.0),"Statistiques des villes suisses 2026, formation achevée la plus élevée",I,250,Urdorf,2,10 000-14 999,pop25_form_sek,Degré secondaire II,CI,Intervalle de confiance (+/-),20.7,,A,Valeur normale,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Source: OFS – Relevé structurel (RS)

Les données concernent les 180 villes de la publication ""Statistiques des villes suisses"", constituées de 173 villes statistiques et de 7 autres membres de l'Union des villes suisses: Appenzell, Arosa, La Neuveville, Moutier, Morat, Willisau et Worb."
