canton,annee,pct_tertiaire
ZH,1970,9.34
ZH,1980,13.19
ZH,1990,16.2
ZH,2000,22.17
ZH,2010,29.91
ZH,2011,32.28
ZH,2012,33.45
ZH,2013,35.05
ZH,2014,35.84
ZH,2015,36.84
ZH,2016,38.14
ZH,2017,39.2
ZH,2018,39.0
ZH,2019,41.26
ZH,2020,46.48
ZH,2021,47.41
ZH,2022,47.75
ZH,2023,49.08
ZH,2024,49.37
BE,1970,6.85
BE,1980,9.44
BE,1990,12.99
BE,2000,17.06
BE,2010,22.48
BE,2011,24.43
BE,2012,25.3
BE,2013,26.07
BE,2014,27.14
BE,2015,27.95
BE,2016,28.48
BE,2017,29.52
BE,2018,29.51
BE,2019,30.95
BE,2020,36.86
BE,2021,37.38
BE,2022,38.32
BE,2023,38.53
BE,2024,39.28
LU,1970,6.44
LU,1980,9.14
LU,1990,13.1
LU,2000,17.06
LU,2010,22.39
LU,2011,24.47
LU,2012,25.26
LU,2013,27.31
LU,2014,27.63
LU,2015,27.96
LU,2016,29.02
LU,2017,29.78
LU,2018,29.93
LU,2019,31.34
LU,2020,37.57
LU,2021,38.46
LU,2022,39.19
LU,2023,39.98
LU,2024,40.25
UR,1970,4.02
UR,1980,5.75
UR,1990,9.27
UR,2000,11.55
UR,2010,17.58
UR,2011,17.62
UR,2012,16.39
UR,2013,15.64
UR,2014,19.3
UR,2015,17.73
UR,2016,25.06
UR,2017,21.97
UR,2018,23.57
UR,2019,21.69
UR,2020,30.58
UR,2021,30.57
UR,2022,31.18
UR,2023,32.35
UR,2024,33.35
SZ,1970,4.24
SZ,1980,6.73
SZ,1990,10.74
SZ,2000,15.37
SZ,2010,22.05
SZ,2011,24.73
SZ,2012,26.05
SZ,2013,26.03
SZ,2014,28.22
SZ,2015,28.13
SZ,2016,30.96
SZ,2017,30.7
SZ,2018,30.48
SZ,2019,31.78
SZ,2020,39.99
SZ,2021,38.53
SZ,2022,39.7
SZ,2023,40.76
SZ,2024,42.24
OW,1970,3.68
OW,1980,6.29
OW,1990,10.45
OW,2000,14.55
OW,2010,20.39
OW,2011,22.14
OW,2012,24.65
OW,2013,24.37
OW,2014,24.73
OW,2015,25.73
OW,2016,24.89
OW,2017,27.31
OW,2018,26.77
OW,2019,25.61
OW,2020,33.3
OW,2021,32.91
OW,2022,35.75
OW,2023,37.26
OW,2024,38.71
NW,1970,6.04
NW,1980,9.56
NW,1990,13.33
NW,2000,18.51
NW,2010,22.86
NW,2011,24.02
NW,2012,24.19
NW,2013,25.83
NW,2014,28.1
NW,2015,29.31
NW,2016,30.44
NW,2017,31.29
NW,2018,30.24
NW,2019,33.66
NW,2020,40.08
NW,2021,37.7
NW,2022,40.22
NW,2023,42.22
NW,2024,43.6
GL,1970,4.4
GL,1980,6.33
GL,1990,9.67
GL,2000,12.4
GL,2010,16.51
GL,2011,18.22
GL,2012,16.51
GL,2013,21.21
GL,2014,19.29
GL,2015,21.79
GL,2016,19.84
GL,2017,23.7
GL,2018,21.1
GL,2019,23.02
GL,2020,32.85
GL,2021,28.16
GL,2022,35.9
GL,2023,31.43
GL,2024,29.29
ZG,1970,8.61
ZG,1980,13.23
ZG,1990,17.63
ZG,2000,24.49
ZG,2010,32.97
ZG,2011,34.02
ZG,2012,37.32
ZG,2013,36.81
ZG,2014,39.05
ZG,2015,39.6
ZG,2016,41.63
ZG,2017,41.78
ZG,2018,42.78
ZG,2019,43.8
ZG,2020,50.35
ZG,2021,50.05
ZG,2022,52.17
ZG,2023,52.51
ZG,2024,53.37
FR,1970,5.19
FR,1980,7.42
FR,1990,12.22
FR,2000,16.97
FR,2010,22.55
FR,2011,23.24
FR,2012,25.17
FR,2013,25.34
FR,2014,27.42
FR,2015,26.45
FR,2016,28.87
FR,2017,29.39
FR,2018,29.19
FR,2019,30.13
FR,2020,31.42
FR,2021,33.31
FR,2022,32.99
FR,2023,34.99
FR,2024,34.68
SO,1970,5.73
SO,1980,8.07
SO,1990,11.82
SO,2000,15.68
SO,2010,21.05
SO,2011,22.27
SO,2012,22.15
SO,2013,23.65
SO,2014,24.58
SO,2015,24.32
SO,2016,26.65
SO,2017,26.54
SO,2018,26.24
SO,2019,26.93
SO,2020,34.69
SO,2021,35.16
SO,2022,34.51
SO,2023,35.42
SO,2024,36.59
BS,1970,9.09
BS,1980,11.66
BS,1990,14.42
BS,2000,21.11
BS,2010,30.07
BS,2011,32.96
BS,2012,33.82
BS,2013,35.97
BS,2014,37.68
BS,2015,37.21
BS,2016,39.76
BS,2017,39.94
BS,2018,39.6
BS,2019,41.46
BS,2020,47.34
BS,2021,48.59
BS,2022,48.86
BS,2023,49.95
BS,2024,51.58
BL,1970,8.68
BL,1980,12.08
BL,1990,15.2
BL,2000,19.69
BL,2010,25.0
BL,2011,26.23
BL,2012,26.71
BL,2013,26.91
BL,2014,29.58
BL,2015,29.71
BL,2016,31.37
BL,2017,30.93
BL,2018,31.15
BL,2019,32.3
BL,2020,39.1
BL,2021,39.91
BL,2022,42.14
BL,2023,40.71
BL,2024,41.94
SH,1970,6.71
SH,1980,9.72
SH,1990,13.99
SH,2000,17.1
SH,2010,23.33
SH,2011,22.54
SH,2012,26.47
SH,2013,25.97
SH,2014,26.23
SH,2015,24.75
SH,2016,28.92
SH,2017,29.19
SH,2018,28.9
SH,2019,28.57
SH,2020,36.75
SH,2021,35.85
SH,2022,37.87
SH,2023,36.86
SH,2024,38.41
AR,1970,4.54
AR,1980,7.96
AR,1990,12.41
AR,2000,16.56
AR,2010,20.73
AR,2011,23.03
AR,2012,21.4
AR,2013,25.29
AR,2014,26.14
AR,2015,27.95
AR,2016,26.58
AR,2017,28.58
AR,2018,28.67
AR,2019,30.89
AR,2020,36.57
AR,2021,38.4
AR,2022,37.32
AR,2023,37.43
AR,2024,38.69
AI,1970,2.13
AI,1980,3.58
AI,1990,7.88
AI,2000,12.64
AI,2010,15.87
AI,2011,19.24
AI,2012,18.13
AI,2013,20.93
AI,2014,23.7
AI,2015,22.55
AI,2016,24.57
AI,2017,19.59
AI,2018,23.74
AI,2019,26.59
AI,2020,31.45
AI,2021,38.59
AI,2022,34.29
AI,2023,37.38
