domaine,taux_total,master_heu,bachelor_hes,diplomes_es,brevet_federal,diplome_federal
Éducation,2.5,5.6,NA,NA,7.4,NA
Santé et protection sociale,3.2,1.0,4.1,1.8,9.5,5.5
Ingénierie ind. transf. et construction,7.2,3.4,5.4,11.1,8.6,4.6
TIC,8.7,3.2,6.5,11.0,15.0,13.0
Agriculture sylviculture et sc. vétér.,9.7,4.5,8.8,7.2,11.6,12.7
Commerce administration et droit,10.4,4.6,13.1,13.9,12.2,6.9
Sciences nat. math. et stat.,7.1,5.5,17.1,NA,0.0,NA
Services,8.6,NA,10.8,10.5,7.5,9.9
Sciences sociales journ. et information,9.4,8.7,14.9,NA,NA,NA
Lettres et arts,20.1,15.8,24.4,24.6,43.5,NA
