source_organisme,source_titre,source_annee,source_url,page_pdf,groupe_page,code_ch_isco_19,profession,chomage_pct,postes_vacants_pct,immigration_pct,emploi_pct,demographie_pct,qualification_pct,indice_global,actifs_occupes_milliers,formation_au_sein_groupe_pct,proportion_femmes_pct,note
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,43,Ensemble de l’économie,999,Ensemble de l’économie,2.9,3.2,11.2,1.1,20.7,88.6,5.0,4071,,,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,43,"Membres des forces armées (CH-ISCO-19 : 01, 02, 03)","01, 02, 03",Membres des forces armées,0.8,0.0,0.8,0.7,13.4,98.5,3.6,4,,4.2,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,44,"Directeurs généraux, cadres supérieurs et membres de l’Exécutif et des corps législatifs (CH-ISCO-19 : 10, 11)","10, 11","Directeurs généraux, cadres supérieurs",1.4,0.8,10.8,0.8,27.0,97.3,5.8,146,,26.5,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,44,"Directeurs généraux, cadres supérieurs et membres de l’Exécutif et des corps législatifs (CH-ISCO-19 : 10, 11)","100, 112",Directeurs généraux et cadres supérieurs,1.3,0.9,11.6,0.4,26.7,97.1,5.5,127,,26.5,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,44,"Directeurs généraux, cadres supérieurs et membres de l’Exécutif et des corps législatifs (CH-ISCO-19 : 10, 11)",111,Membres de l’Exécutif et membres des corps législatifs,1.7,0.2,6.1,3.2,29.1,99.0,5.9,19,,26.5,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,45,Directeurs de services administratifs et commerciaux (CH-ISCO-19 : 12),12,Directeurs de services administratifs et commerciaux,2.8,1.2,15.9,3.8,17.9,98.5,6.0,135,,39.1,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,45,Directeurs de services administratifs et commerciaux (CH-ISCO-19 : 12),121,Directeurs de services administratifs,1.5,0.4,14.9,3.6,19.6,98.0,6.1,74,,39.1,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,45,Directeurs de services administratifs et commerciaux (CH-ISCO-19 : 12),1221,"Directeurs et cadres de direction, ventes et marketing",5.4,2.5,15.5,3.5,16.7,98.7,5.4,46,,39.1,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,45,Directeurs de services administratifs et commerciaux (CH-ISCO-19 : 12),12220,"Directeurs et cadres de direction, publicité et relations publiques",2.4,0.4,19.1,4.5,11.8,99.8,5.7,7,,39.1,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
SECO,Disponibilité de la main-d’œuvre : un système d’indicateurs pour l’évaluer,2023,https://www.seco.admin.ch/dam/seco/fr/dokumente/Publikationen_Dienstleistungen/Publikationen_Formulare/Arbeit/Arbeitsmarkt/Fachkraeftebedarf/indikatorensystem_arbeitskraeftesituation.pdf.download.pdf/indikatorensystem_arbeitskr%C3%A4ftesituation_fr.pdf,45,Directeurs de services administratifs et commerciaux (CH-ISCO-19 : 12),12230,"Directeurs et cadres de direction, R&D",0.7,0.9,24.3,8.4,14.2,99.9,6.9,8,,39.1,"Les indicateurs chômage, postes vacants, immigration, emploi, démographie et qualification sont indiqués en %. Actifs occupés en milliers."
